                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8924,                 3.1409,                0.83227,                0.13537,                0.41484,                0.14719,                0.11561,                 0.6471,                 67.428,                0.73504,               0.000237,               0.000237,               0.000237
                      2,                0.80375,                 1.9749,                0.82521,                  0.147,                0.46705,                0.18041,                0.14354,                0.60455,                 425.72,                0.73046,             0.00047343,             0.00047343,             0.00047343
                      3,                 0.7653,                 1.7394,                0.82303,                0.16153,                 0.6596,                0.17559,                 0.1401,                0.62175,                 247.34,                0.73495,             0.00070829,             0.00070829,             0.00070829
                      4,                0.75764,                 1.5459,                 0.8282,                 0.1872,                0.74431,                0.21334,                0.17036,                0.56251,                 264.17,                0.73164,             0.00070693,             0.00070693,             0.00070693
                      5,                0.76498,                 1.4873,                0.83099,                0.20227,                0.63632,                0.23799,                0.18871,                0.55235,                 267.76,                0.73205,             0.00070693,             0.00070693,             0.00070693
                      6,                0.73255,                 1.3255,                0.82425,                0.19331,                0.74758,                0.23669,                0.19618,                0.52516,                 275.79,                0.72767,             0.00070458,             0.00070458,             0.00070458
                      7,                0.70045,                  1.207,                0.81953,                0.19236,                0.74778,                0.23917,                0.18941,                0.57768,                 417.95,                0.73384,             0.00070222,             0.00070222,             0.00070222
                      8,                 0.7031,                  1.138,                0.82489,                0.22031,                0.81282,                0.25105,                0.20378,                0.53551,                 406.66,                0.72914,             0.00069986,             0.00069986,             0.00069986
                      9,                0.69439,                   1.17,                0.82071,                0.22625,                0.79604,                0.23974,                0.19359,                0.52296,                 257.62,                0.72806,             0.00069751,             0.00069751,             0.00069751
                     10,                0.69471,                 1.1911,                0.81955,                0.20328,                0.80465,                0.22496,                0.18355,                0.53666,                 266.78,                0.72568,             0.00069515,             0.00069515,             0.00069515
                     11,                0.66975,                 1.0703,                 0.8168,                0.23405,                0.81237,                 0.2507,                0.20576,                0.50325,                 537.04,                0.72397,             0.00069279,             0.00069279,             0.00069279
                     12,                0.68494,                 1.1119,                0.82081,                0.21294,                0.75051,                0.23772,                0.19688,                0.53398,                  403.9,                0.72388,             0.00069044,             0.00069044,             0.00069044
                     13,                0.69501,                 1.1172,                  0.818,                 0.1841,                0.78594,                0.23233,                0.19476,                 0.5085,                 351.09,                 0.7247,             0.00068808,             0.00068808,             0.00068808
                     14,                 0.6652,                 1.0282,                0.81634,                0.21046,                0.79116,                0.23433,                0.19372,                0.49336,                 461.31,                 0.7228,             0.00068573,             0.00068573,             0.00068573
                     15,                0.67122,                 1.0015,                0.81648,                0.21194,                0.84489,                 0.2574,                0.21238,                0.51868,                 355.31,                0.72461,             0.00068337,             0.00068337,             0.00068337
                     16,                0.67524,                0.98271,                0.81657,                0.22654,                0.84151,                0.27295,                0.21395,                0.52841,                 266.73,                  0.727,             0.00068101,             0.00068101,             0.00068101
                     17,                0.66398,                 1.0765,                0.81557,                0.34175,                0.76367,                0.25715,                0.21254,                0.50866,                 320.67,                0.72159,             0.00067866,             0.00067866,             0.00067866
                     18,                0.66484,                 1.0162,                0.81396,                 0.2243,                0.86536,                0.24927,                0.20516,                0.51283,                 365.87,                0.72455,              0.0006763,              0.0006763,              0.0006763
                     19,                0.65661,                0.96238,                0.81245,                 0.2382,                0.84751,                0.25019,                0.20559,                0.50982,                 267.32,                0.72074,             0.00067394,             0.00067394,             0.00067394
                     20,                0.66709,                0.94488,                 0.8153,                0.21862,                0.71341,                 0.2442,                0.20431,                0.51275,                 293.12,                 0.7208,             0.00067159,             0.00067159,             0.00067159
                     21,                0.65341,                0.91446,                0.81269,                0.22246,                0.85805,                0.28189,                0.22737,                0.55326,                 434.53,                0.72884,             0.00066923,             0.00066923,             0.00066923
                     22,                0.64607,                0.89596,                0.81152,                0.23452,                 0.8264,                 0.2616,                0.21394,                 0.4933,                 401.08,                0.72088,             0.00066688,             0.00066688,             0.00066688
                     23,                0.65277,                0.91681,                0.81527,                0.15836,                0.69729,                0.17367,                 0.1413,                0.51511,                 319.76,                0.72319,             0.00066452,             0.00066452,             0.00066452
                     24,                0.66077,                0.90309,                 0.8146,                0.22993,                0.88911,                0.28826,                0.24131,                0.47779,                 385.59,                 0.7197,             0.00066216,             0.00066216,             0.00066216
                     25,                 0.6481,                0.87476,                0.81216,                0.23599,                0.88332,                 0.2757,                0.22312,                0.53859,                 418.53,                0.72821,             0.00065981,             0.00065981,             0.00065981
                     26,                0.64636,                0.86886,                0.81079,                0.22319,                0.86676,                0.25103,                 0.2087,                0.50093,                  643.9,                0.72318,             0.00065745,             0.00065745,             0.00065745
                     27,                 0.6509,                0.85398,                0.81245,                0.22322,                0.94482,                0.26832,                0.21417,                0.52042,                 313.19,                0.72478,             0.00065509,             0.00065509,             0.00065509
                     28,                 0.6378,                0.82435,                0.81075,                0.22422,                0.90884,                0.26927,                0.22185,                0.51304,                 221.79,                0.72449,             0.00065274,             0.00065274,             0.00065274
                     29,                0.62574,                0.83773,                0.80849,                0.23755,                0.89148,                0.27991,                0.23679,                0.47328,                 293.44,                0.71739,             0.00065038,             0.00065038,             0.00065038
                     30,                0.63644,                0.82732,                0.80999,                0.23482,                0.86973,                0.28824,                0.23939,                0.48207,                 512.24,                0.71975,             0.00064803,             0.00064803,             0.00064803
                     31,                0.63584,                0.84647,                0.81115,                0.22582,                0.86566,                0.24457,                0.20368,                0.48448,                 255.02,                0.71953,             0.00064567,             0.00064567,             0.00064567
                     32,                0.63498,                0.82427,                0.81112,                 0.2445,                0.88437,                0.27939,                0.23382,                0.47441,                 144.27,                 0.7166,             0.00064331,             0.00064331,             0.00064331
                     33,                0.65007,                0.81864,                0.81027,                0.22107,                0.89693,                0.26058,                0.21451,                0.50935,                 487.84,                0.72353,             0.00064096,             0.00064096,             0.00064096
                     34,                0.64628,                0.80303,                0.81048,                0.22748,                0.93443,                0.28112,                0.23573,                0.48149,                 504.94,                0.71735,              0.0006386,              0.0006386,              0.0006386
                     35,                0.64025,                0.84879,                0.80855,                0.24093,                0.82413,                0.26678,                 0.2201,                 0.4718,                 461.61,                0.71849,             0.00063625,             0.00063625,             0.00063625
                     36,                0.63165,                0.78123,                0.80966,                0.23667,                0.88939,                0.26865,                0.22514,                0.46052,                 201.98,                0.71644,             0.00063389,             0.00063389,             0.00063389
                     37,                0.62964,                0.77451,                0.80835,                0.22818,                0.96405,                0.25937,                0.21926,                0.46858,                  354.5,                0.71755,             0.00063153,             0.00063153,             0.00063153
                     38,                0.61497,                0.71765,                0.80689,                 0.2311,                0.92862,                0.26308,                0.21904,                0.50436,                 557.88,                0.71856,             0.00062918,             0.00062918,             0.00062918
